Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","220n","C_0603_1608Metric",156.175000,-95.500000,90.000000,top
"C2","220n","C_0603_1608Metric",156.175000,-104.500000,270.000000,top
"C3","220n","C_0603_1608Metric",156.175000,-98.500000,90.000000,top
"C4","220n","C_0603_1608Metric",156.175000,-101.500000,270.000000,top
"C5","680n","C_0805_2012Metric",165.450000,-88.200000,270.000000,top
"C6","680n","C_0805_2012Metric",165.450000,-91.640000,90.000000,top
"C7","680n","C_0805_2012Metric",165.450000,-108.280000,90.000000,top
"C8","680n","C_0805_2012Metric",165.450000,-111.720000,270.000000,top
"C9","100n","C_0603_1608Metric",152.887500,-94.105000,180.000000,top
"C10","100n","C_0603_1608Metric",152.887500,-105.895000,180.000000,top
"C11","10u","C_0805_2012Metric",162.600000,-100.000000,180.000000,top
"C12","10u","C_0805_2012Metric",158.800000,-100.000000,180.000000,top
"C13","10u","C_0805_2012Metric",165.450000,-104.500000,270.000000,top
"C14","100n","C_0603_1608Metric",130.870000,-93.580000,0.000000,top
"C15","100n","C_0402_1005Metric",146.540000,-114.250000,90.000000,top
"C16","10u","C_0805_2012Metric",148.600000,-92.200000,0.000000,top
"C17","47n","C_0402_1005Metric",137.600000,-101.520000,270.000000,top
"C18","47n","C_0402_1005Metric",140.420000,-102.020000,180.000000,top
"C19","4,7n","C_0402_1005Metric",137.390000,-111.975000,180.000000,top
"C20","100n","C_0603_1608Metric",145.430000,-96.185000,0.000000,top
"C21","1u","C_0603_1608Metric",145.430000,-97.960000,0.000000,top
"C22","1u","C_0603_1608Metric",148.430000,-105.880000,180.000000,top
"C23","68n","C_0402_1005Metric",137.390000,-113.925000,180.000000,top
"C24","100n","C_0402_1005Metric",145.975000,-88.925000,270.000000,top
"C25","10u","C_0805_2012Metric",153.490000,-92.270000,0.000000,top
"C26","22n","C_0603_1608Metric",153.500000,-86.900000,180.000000,top
"C27","10u","C_0805_2012Metric",157.540000,-81.830000,0.000000,top
"C28","10u","C_0805_2012Metric",157.540000,-83.820000,0.000000,top
"C29","10u","C_0805_2012Metric",165.500000,-95.500000,90.000000,top
"C30","10u","C_0805_2012Metric",165.450000,-100.000000,270.000000,top
"C31","100n","C_0402_1005Metric",137.290000,-87.195000,90.000000,top
"C32","100n","C_0402_1005Metric",137.390000,-114.890000,180.000000,top
"C33","100n","C_0402_1005Metric",145.975000,-87.075000,90.000000,top
"C34","100n","C_0402_1005Metric",142.410000,-103.820000,270.000000,top
"C35","1u","C_0603_1608Metric",148.600000,-86.950000,180.000000,top
"C36","330u","CP_Elec_8x11.9",152.275000,-113.225000,270.000000,top
"C37","100n","C_0402_1005Metric",140.970000,-106.640000,180.000000,top
"D1","1N5819WS","D_SOD-323",150.220000,-83.500000,90.000000,top
"D2","LED","LED_0402_1005Metric",133.550000,-82.150000,0.000000,top
"D3","LED","LED_0402_1005Metric",133.550000,-83.125000,0.000000,top
"D4","1N5819WS","D_SOD-323",127.650000,-81.060000,180.000000,top
"D5","1N5819WS","D_SOD-323",147.900000,-83.500000,90.000000,top
"J2","USB C","USB_C_Receptacle_XKB_U262-16XN-4BVC11",127.820000,-87.350000,270.000000,top
"L1","4,7u","L_6.3x6.3_H3",160.700000,-88.400000,0.000000,top
"L2","4,7u","L_6.3x6.3_H3",160.700000,-111.600000,0.000000,top
"L3","4,7u","L_6.3x6.3_H3",160.700000,-95.500000,0.000000,top
"L4","4,7u","L_6.3x6.3_H3",160.700000,-104.500000,0.000000,top
"L5","4,7u","L_4.1x4.1_H1.75",153.500000,-83.500000,90.000000,top
"Q1","AO3400A","SOT-23",127.250000,-96.260000,90.000000,top
"Q2","NDC7002N","SuperSOT-6",138.620000,-96.250000,270.000000,top
"R1","5k1","R_0402_1005Metric",133.530000,-85.050000,180.000000,top
"R2","5k1","R_0402_1005Metric",133.530000,-89.650000,180.000000,top
"R3","75","R_0402_1005Metric",137.600000,-104.320000,270.000000,top
"R4","100","R_0402_1005Metric",138.600000,-101.520000,90.000000,top
"R5","1M","R_0402_1005Metric",140.410000,-101.020000,180.000000,top
"R6","7k5","R_0402_1005Metric",139.090000,-106.640000,180.000000,top
"R7","2k","R_0402_1005Metric",137.600000,-106.230000,90.000000,top
"R8","20k","R_0402_1005Metric",134.500000,-97.200000,270.000000,top
"R9","30k","R_0402_1005Metric",134.500000,-95.300000,270.000000,top
"R10","27k","R_0402_1005Metric",127.220000,-94.080000,0.000000,top
"R11","1k5","R_0402_1005Metric",133.150000,-97.200000,90.000000,top
"R12","1k5","R_0402_1005Metric",133.150000,-95.300000,270.000000,top
"R13","4k7","R_0402_1005Metric",136.400000,-97.210000,90.000000,top
"R14","4k7","R_0402_1005Metric",136.400000,-95.310000,270.000000,top
"R15","4k7","R_0402_1005Metric",145.430000,-94.190000,180.000000,top
"R17","4k7","R_0402_1005Metric",137.410000,-115.875000,0.000000,top
"R18","680","R_0402_1005Metric",137.390000,-112.950000,0.000000,top
"R19","1k","R_0402_1005Metric",135.450000,-82.150000,180.000000,top
"R20","10k","R_0402_1005Metric",155.910000,-90.400000,90.000000,top
"R21","51k","R_0402_1005Metric",155.910000,-88.500000,90.000000,top
"R22","1k","R_0402_1005Metric",135.450000,-83.125000,180.000000,top
"R23","100k","R_0402_1005Metric",145.980000,-103.540000,90.000000,top
"R24","56k","R_0402_1005Metric",150.240000,-81.380000,180.000000,top
"R25","4k","R_0402_1005Metric",148.350000,-81.380000,0.000000,top
"U1","TAS5805M","HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_Mask2.4x6.17mm_ThermalVias",150.800000,-100.000000,0.000000,top
"U2","DIR9001","TSSOP-28_4.4x9.7mm_P0.65mm",142.190000,-112.950000,180.000000,top
"U3","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",141.640000,-87.350000,180.000000,top
"U4","XC6206PxxxMR","SOT-23",148.600000,-89.450000,0.000000,top
"U5","SN74LVC2GU04","SOT-23-6",140.000000,-104.320000,0.000000,top
"U6","ACT4088","SOT-23-6",153.500000,-89.450000,0.000000,top
"U7","SRV05-4","SOT-23-6",130.850000,-96.250000,90.000000,top
"U8","SRV05-4","SOT-23-6",134.500000,-87.350000,180.000000,top
